"Now Shopping by","כעט ממויין לפי",theme,frontend/Magento/luma
Previous,הקודם,theme,frontend/Magento/luma
Remove,הסר,theme,frontend/Magento/luma
"Remove This Item","הסר פריט זה",theme,frontend/Magento/luma
"Shop By","מיין לפי",theme,frontend/Magento/luma
"Clear All","נקה הכל",theme,frontend/Magento/luma
"Shopping Options","אפשרויות קניה",theme,frontend/Magento/luma
"Welcome to %store_name.","ברוכים הבאים ל%store_name.",theme,frontend/Magento/luma
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","כדי להיכנס לאתר שלנו, השתמש בפרטי חיבור אלה במהלך הצ'ק אאוט או בדף <a href=""%customer_url""> החשבון שלי</a>:",theme,frontend/Magento/luma
Email:,"דואר אלקטרוני:",theme,frontend/Magento/luma
Password:,סיסמא:,theme,frontend/Magento/luma
"Password you set when creating account","הסיסמה שהגדרת בעת יצירת חשבון",theme,frontend/Magento/luma
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","שכחת את הסיסמה לחשבון שלך? לחץ <a href=""%reset_url""> כאן</a> כדי לאפס אותה.",theme,frontend/Magento/luma
"When you sign in to your account, you will be able to:","כאשר תבצע כניסה לחשבון שלך, ניתן יהיה:",theme,frontend/Magento/luma
"Quick Checkout","צ'ק אאוט מהיר",theme,frontend/Magento/luma
"Order Status","סטטוס הזמנה",theme,frontend/Magento/luma
"Check the status of orders","בדוק את מצב הזמנות",theme,frontend/Magento/luma
"Manage Addresses","נהל כתובות",theme,frontend/Magento/luma
"Store alternative addresses","שמור כתובות חלופיות",theme,frontend/Magento/luma
"Order History","היסטורית הזמנות",theme,frontend/Magento/luma
"View past orders","הצג את ההזמנות הקודמות",theme,frontend/Magento/luma
"About Us",אודותינו,theme,frontend/Magento/luma
"Customer Service","שירות לקוחות",theme,frontend/Magento/luma
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone""> %store_phone</a>",theme,frontend/Magento/luma
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","שעות פעילות: < br / > <span class=""no-link"">%store_hours</span>.",theme,frontend/Magento/luma
"Thank you for your order from %store_name.","תודה על הזמנתך מ- %store_name.",theme,frontend/Magento/luma
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","באפשרותך לבדוק את מצב ההזמנה שלך על-ידי <a href=""%account_url""> כניסה לחשבון שלך</a>.",theme,frontend/Magento/luma
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","אם יש לך שאלות לגבי ההזמנות שלך, אתה יכול שלח לנו דוא ל- <a href=""mailto:%store_email""> %store_email</a>.",theme,frontend/Magento/luma
"Billing Info","פרטי חיוב",theme,frontend/Magento/luma
"Shipping Info","פרטי משלוח",theme,frontend/Magento/luma
"Payment Method","שיטת תשלום",theme,frontend/Magento/luma
"Shipping Method","שיטת משלוח",theme,frontend/Magento/luma
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","הזמנתך %increment_id # עודכנה לסטטוס <strong>%order_status</strong>.",theme,frontend/Magento/luma
"Your Invoice #%invoice_id for Order #%order_id","חשבוניתך %invoice_id # עבור ההזמנה #%order_id",theme,frontend/Magento/luma
"Once your package ships we will send you a tracking number.","ברגע שהחבילה שלך תשלח תקבל מספר מעקב.",theme,frontend/Magento/luma
"Your Order <span class=""no-link"">#%increment_id</span>","הזמנתך <span class=""no-link""> #%increment_id</span>",theme,frontend/Magento/luma
"Placed on <span class=""no-link"">%created_at</span>","נוצר ב <span class=""no-link"">%created_at</span>",theme,frontend/Magento/luma
"Your shipping confirmation is below. Thank you again for your business.","להלן אישור המשלוח שלך. תודה על רכישתך.",theme,frontend/Magento/luma
"Your Shipment #%shipment_id for Order #%order_id","משלוח שלך %shipment_id # עבור הזמנה #%order_id",theme,frontend/Magento/luma
Summary,סיכום,theme,frontend/Magento/blank
"Account Dashboard","לוח בקרה של החשבון",theme,frontend/Magento/blank
"Account Information","פרטי חשבון",theme,frontend/Magento/blank
"Address Book","פנקס הכתובות",theme,frontend/Magento/blank
Menu,תפריט,theme,frontend/Magento/blank
Account,חשבון,theme,frontend/Magento/blank
Settings,הגדרות,theme,frontend/Magento/blank
